Likelihood 0.76516 0.802 -0.03684
KNN 0.904655 0.776 0.128655
MLP 0.947065 0.78 0.167065
MLP_L2Reg 0.94368 0.778 0.16568
DNN_ReLU 0.5772 0.356 0.2212
DNN_ReLU_mlp 0.920295 0.772 0.148295
BDT 0.948745 0.79 0.158745
BDTG 0.956535 0.832 0.124535
